Question,St 1,St 2,St 3,St 4,St 5,St 6,St 7,St 8,St 9,St 10,St 11,St 12,St 13,St 14,St 15,St 16,St 17,St 18,St 19,St 20,St 21,St 22,St 23,St 24,St 25,St 26,St 27,St 28,St 29,St 30
Q4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,3,3
Q3,3,3,3,2,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,1,2,3,3,3,3,3,2,3,3,3
Q1,4,4,3,4,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,3,1,4,4,4,2,4,4,4
Q7,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,2
Q11,2,3,3,3,3,3,3,3,3,3,3,0,3,2,3,3,3,3,3,0,2,2,2,2,3,3,3,2,3,3
Q5,4,4,3,2,3,3,2,4,3,4,4,1,4,4,4,4,3,4,4,1,1,3,3,4,4,3,2,3,4,4
Q6,3,2,3,3,3,3,1,2,3,1,3,1,1,1,3,2,3,1,3,1,1,3,1,3,0,3,2,3,1,3
Q2,3,5,3,5,2,2,3,3,3,3,3,4,5,5,3,5,3,3,3,0,5,2,2,5,5,3,0,5,5,2
Q15,4,3,0,4,4,2,4,4,0,3,3,0,4,4,0,4,0,3,3,0,4,3,0,3,4,4,2,2,4,4
Q8,5,5,4,5,5,0,5,3,0,5,5,0,3,2,5,5,0,5,5,0,0,0,0,5,2,0,3,3,5,3
Q10,2,3,2,2,2,1,1,3,2,1,2,2,1,1,2,2,2,1,2,2,0,1,2,2,1,2,2,2,2,2
Q16,2,2,2,2,2,1,1,2,2,2,0,0,1,2,0,2,2,2,0,0,0,0,2,1,0,0,0,0,0,2
Q13,4,2,3,2,2,2,2,1,3,3,1,0,0,2,0,2,3,3,1,0,3,1,2,2,2,3,2,2,2,3
Q14,3,0,2,2,1,1,0,0,2,0,3,2,2,2,0,0,2,0,3,2,0,0,0,0,2,2,0,0,2,2
Q26,6,2,0,4,2,4,4,0,0,2,4,0,4,4,0,2,0,2,4,0,0,2,0,2,0,0,2,2,4,4
Q19,3,2,2,4,2,4,4,0,0,2,4,0,4,4,0,2,0,2,4,0,0,2,0,2,0,0,2,2,4,4
Q9,4,4,3,0,0,0,0,0,0,4,4,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,2
Q24,5,4,0,0,1,3,1,0,0,3,3,0,2,4,0,4,0,3,3,0,0,1,0,0,1,1,1,0,4,0
Q21,6,2,5,0,2,2,2,0,0,0,1,0,5,0,0,2,0,0,1,0,0,0,2,2,4,4,3,2,1,4
Q20,4,1,3,0,3,0,2,1,0,2,3,1,1,3,0,1,0,2,3,1,0,0,0,1,2,2,1,0,2,0
Q12,2,2,0,0,0,0,2,0,0,0,2,0,0,0,1,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0
Q17,5,2,1,0,5,0,3,1,1,0,4,0,1,1,0,3,1,0,4,0,1,0,1,2,7,7,0,2,0,0
Q27,5,1,0,0,3,0,2,1,0,2,3,1,1,3,0,1,0,2,3,1,0,0,0,1,2,2,1,0,2,0
Q28,5,2,0,0,2,2,2,0,0,0,1,0,5,0,0,2,0,0,1,0,0,0,2,2,4,4,3,2,1,4
Q23,4,4,3,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Q18,4,2,3,0,2,1,0,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0
Q30,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Q25,4,2,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
Q29,5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Q22,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
